"address","_c1","rank"
"056XX W LAKE ST","849","667"
"017XX W FULLERTON AVE","849","667"
"049XX S KEDZIE AVE","848","669"
"0000X W HURON ST","848","669"
"011XX W LAWRENCE AVE","847","671"
"056XX W FULLERTON AVE","846","672"
"055XX S HALSTED ST","846","672"
"063XX W 56TH ST","845","674"
"056XX S MICHIGAN AVE","844","675"
"039XX W ARTHINGTON ST","844","675"
"038XX W MONROE ST","844","675"
"002XX N LAVERGNE AVE","843","678"
"116XX S MICHIGAN AVE","842","679"
"004XX W 79TH ST","842","679"
"058XX S ARCHER AVE","842","679"
"016XX N CICERO AVE","841","682"
"012XX N ASHLAND AVE","841","682"
"048XX N FRANCISCO AVE","840","684"
"050XX W CHICAGO AVE","840","684"
"0000X N LOTUS AVE","839","686"
"046XX S ELLIS AVE","839","686"
"0000X W JACKSON BLVD","838","688"
"055XX W CHICAGO AVE","838","688"
"009XX N ST LOUIS AVE","837","690"
"008XX W BELMONT AVE","835","691"
"095XX S STATE ST","835","691"
"068XX N SHERIDAN RD","835","691"
"0000X N LECLAIRE AVE","834","694"
"023XX S LAKE SHORE DR E","834","694"
"0000X E OAK ST","833","696"
"008XX N CAMBRIDGE AVE","833","696"
"002XX S MICHIGAN AVE","833","696"
"016XX E 95TH ST","833","696"
"008XX W GARFIELD BLVD","833","696"
"037XX W GRENSHAW ST","832","701"
