"unsafearea.address","unsafearea.total_crimes","unsafearea.rank","crime.latitude","crime.longitude"
"113XX S CHURCH ST","272","5910","41.688199161","-87.667248418"
"071XX S PEORIA ST","301","5130","41.764579535","-87.646822954"
"004XX E BOWEN AVE","396","3334","41.819347317","-87.615851173"
"009XX N HARDING AVE","656","1188","41.897869923","-87.724934746"
"054XX S PRAIRIE AVE","389","3438","41.795652442","-87.619247355"
"009XX W PERSHING RD","262","6178","",""
"016XX S LAWNDALE AVE","509","2071","41.858489603","-87.71766176"
"108XX S MICHIGAN AVE","549","1745","41.697624892","-87.620860102"
"048XX S DREXEL BLVD","1098","354","41.807067906","-87.603843747"
"048XX W IRVING PARK RD","628","1297","41.953403981","-87.747994035"
"056XX W ROOSEVELT RD","349","4110","41.865571921","-87.766032483"
"020XX W 53RD PL","55","22405","41.796644068","-87.675951455"
"004XX N MICHIGAN AVE","926","553","41.890455604","-87.6241128"
"051XX S PULASKI RD","2278","46","41.799520795","-87.723342683"
"025XX W HADDON AVE","217","7805","41.902057187","-87.690108357"
"063XX S DR MARTIN LUTHER KING JR DR","4442","7","41.779276522","-87.615601416"
"063XX S DR MARTIN LUTHER KING JR DR","4442","7","41.779120086","-87.615599494"
"067XX N OLIPHANT AVE","65","20599","42.00396059","-87.814801594"
"0000X N STATE ST","6684","5","41.88233367","-87.627841791"
"038XX W FULLERTON AVE","402","3246","",""
"001XX W 79TH ST","742","902","41.75089655","-87.627813307"
"081XX S STEWART AVE","105","15407","41.746239973","-87.634181801"
"048XX N WESTERN AVE","309","4947","41.969970127","-87.688947525"
"006XX W DIVERSEY PKWY","714","989","41.932778447","-87.645996134"
"095XX S LAFAYETTE AVE","194","8827","41.720977557","-87.625052757"
"039XX W OGDEN AVE","611","1376","41.851393305","-87.723903515"
"014XX S TRUMBULL AVE","463","2499","41.861975288","-87.711637158"
"051XX S PULASKI RD","2278","46","41.800464977","-87.723370404"
"002XX S MICHIGAN AVE","833","696","41.879235852","-87.624347038"
"081XX S EVANS AVE","366","3797","41.747151137","-87.606332713"
"008XX W ARMITAGE AVE","316","4777","41.918152384","-87.650242571"
"004XX S KILBOURN AVE","249","6603","41.874632789","-87.737716343"
"038XX W DIVISION ST","914","572","41.902698437","-87.723129356"
"010XX W FULLERTON AVE","130","13024","41.925349425","-87.655156022"
"076XX N MARSHFIELD AVE","490","2225","42.019973942","-87.671911768"
"014XX S TRUMBULL AVE","463","2499","41.862041146","-87.71163652"
"118XX S UNION AVE","284","5580","41.679042016","-87.639536668"
"078XX S SAGINAW AVE","402","3246","41.753138169","-87.559941623"
"016XX W 76TH ST","76","18960","41.755804392","-87.664226249"
"0000X N MICHIGAN AVE","1071","372","41.882424852","-87.624377884"
"001XX N STATE ST","9528","2","41.884650262","-87.627915459"
"023XX N KIMBALL AVE","161","10688","41.924085415","-87.712089167"
"040XX E 134TH ST","548","1757","41.651431329","-87.527258234"
"045XX W WASHINGTON BLVD","959","514","41.881891126","-87.73873591"
"093XX S COMMERCIAL AVE","107","15197","41.726058329","-87.551163198"
"002XX S LOTUS AVE","518","2004","41.878017787","-87.761740038"
"021XX N ELSTON AVE","594","1465","41.92046017","-87.67083136"
"012XX E 95TH ST","138","12319","41.722192937","-87.594489325"
"119XX S EMERALD AVE","429","2876","41.677196508","-87.640683932"
"007XX N RUSH ST","419","3021","41.895996468","-87.625487641"
"066XX S DREXEL AVE","692","1080","41.774344746","-87.603360484"
"0000X E OHIO ST","1125","332","41.892509386","-87.626069718"
"013XX W LELAND AVE","169","10183","41.967146604","-87.663111354"
"099XX S VINCENNES AVE","355","4005","41.713353279","-87.653587393"
"007XX N CHRISTIANA AVE","988","470","41.894426386","-87.710183945"
"015XX N SHEFFIELD AVE","189","9071","41.91007391","-87.653106106"
"070XX S PULASKI RD","1380","194","41.764635744","-87.7223903"
"001XX N STETSON AVE","76","18960","41.885274208","-87.622293521"
"061XX S KIMBARK AVE","614","1362","41.783186413","-87.594706146"
"015XX W 94TH ST","121","13827","41.723043634","-87.662016704"
"071XX S PARNELL AVE","488","2239","41.764638085","-87.638303716"
"0000X N MICHIGAN AVE","1071","372","41.882413876","-87.624378005"
"046XX N WINCHESTER AVE","107","15197","41.965888447","-87.677615652"
"053XX W PATTERSON AVE","62","21101","41.946874809","-87.760371798"
"001XX N STATE ST","9528","2","41.883500187","-87.627876698"
"091XX S COMMERCIAL AVE","1384","190","41.729618252","-87.551244573"
"064XX W NORTH AVE","152","11306","41.909131404","-87.786403729"
"010XX W 64TH ST","192","8935","",""
"004XX S STATE ST","1752","97","41.876607964","-87.627644063"
"008XX N LAVERGNE AVE","321","4650","41.895231929","-87.750714598"
"071XX S RIDGELAND AVE","620","1337","41.765806885","-87.582438963"
"070XX S PRAIRIE AVE","206","8271","41.766920643","-87.618510364"
"044XX W MONROE ST","1415","177","41.879632018","-87.736505875"
"039XX N CICERO AVE","329","4491","41.952184675","-87.74728465"
"014XX S KOLIN AVE","263","6148","41.861400499","-87.733595454"
"064XX N MOZART ST","172","9999","41.998032804","-87.700881999"
"130XX S EVANS AVE","611","1376","41.657648378","-87.603406328"
"067XX S WINCHESTER AVE","316","4777","41.771357512","-87.672488834"
"013XX S CALIFORNIA BLVD","375","3638","41.863694337","-87.695827199"
"031XX W MADISON ST","1744","99","41.88099198","-87.704402338"
"030XX N LINDER AVE","143","11950","41.935471089","-87.763935987"
"002XX E ERIE ST","345","4177","41.894173733","-87.621401474"
"043XX W NORTH AVE","487","2251","41.909770708","-87.735196552"
"008XX S STATE ST","688","1087","41.871162553","-87.627509369"
"049XX W DRUMMOND PL","169","10183","41.928764316","-87.750288303"
"013XX W 109TH ST","188","9105","41.695843322","-87.65525108"
"038XX W ROOSEVELT RD","2711","23","41.866215343","-87.721894077"
"003XX W 103RD ST","204","8353","41.707062135","-87.631482564"
"055XX W WASHINGTON BLVD","1529","144","41.882256798","-87.763777064"
